eventID,parentEventID,ParentEntry,eventDate,Starttime,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,Temperature,Precipitation,Visibility,Wind (Beaufort scale),Latitude,Longitude,Percentcanopycover,Endlatitude,Endlongitude,geodeticDatum,countryCode,,,,,
N1B,,TRUE,2025-09-10,6:55,Walking transect ,Average of 30 minute walk along transect,1.2,Kilometres,North Hill,,Light,High,High,,,,,,WGS84,SCO,,,,,
S2B,,TRUE,2025-09-11,6:30,Walking transect ,Average of 30 minute walk along transect,0.69,Kilometres,South Hill,10,Light,High,Low,N55 42.0486,W5 17.3166,,N55 41.75,W5 17. 0135833,TRF (OS),SCO,,,,,
N3B,,TRUE,2025-09-12,648,Walking transect ,Average of 30 minute walk along transect,1.42,Kilometres,North Hill,,Light,High,High,N55 42.366,W5 17.008,,N55 42.01612,W5 15.98,TRF (OS),SCO,,,,,
N3B_OoB,N3B,FALSE,2025-09-12,648,Walking transect ,Average of 30 minute walk along transect,1.42,Kilometres,North Hill,,Light,High,High,N55 42.366,W5 17.008,,N55 42.01612,W5 15.98,TRF (OS),SCO,Out of bounds bird obs N3B,,,,
NB_I,,TRUE,,,Incidental observations throughout survey,,,,North Hill,,,,,,,,,,,,North side birds incidental observations ,,,,
SB_I,,TRUE,,,Incidental observations throughout survey,,,,South Hill,,,,,,,,,,,,South side birds incidental observations ,,,,
N2B,,TRUE,2025-09-11,607,Walking transect ,Average of 30 minute walk along transect,,,North Hill,,,,,N55 42.5,W5 16.938,,N55 42.2133,W5 16.056966,,,,,,,
S3B,,TRUE,2025-09-12,634,Walking transect ,Average of 30 minute walk along transect,,,South Hill,,,,,N55 42.005,W5 17.1,,N55 41.75,W5 16.887,,,,,,,
S1B,,TRUE,2025-09-10,644,Walking transect ,Average of 30 minute walk along transect,,,South Hill,,,,,N55 41.88,W5 17.25,,N55 41.6598,W5 16.977,,,,,,,
S2B_OoB,S2B,FALSE,2025-09-11,6:30,Walking transect ,Average of 30 minute walk along transect,0.69,Kilometres,South Hill,10,Light,High,Low,N55 42.0486,W5 17.3166,,N55 41.75,W5 17. 0135833,TRF (OS),SCO,,,,,
B1B_OoB,N1B,FALSE,2025-09-10,6:55,Walking transect ,Average of 30 minute walk along transect,1.2,Kilometres,North Hill,,Light,High,High,,,,,,WGS84,SCO,,,,,
S1B,,TRUE,9/10/2025,,Walking transect ,Average of 30 minute walk along transect,0.4,Kilometres,South Hill,,,,,N55 41.8902,W5 17.1354,,N55 41.6898,W5 16.9289833,,,,,,,
S1B_OoN,S1B,TRUE,9/10/2025,,Walking transect ,Average of 30 minute walk along transect,0.4,Kilometres,South Hill,,,,,N55 41.8902,W5 17.1354,,N55 41.6898,W5 16.9289833,,,,,,,
