eventID,parentEventID,ParentEntry,eventDate,Starttime,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,Temperature,Precipitation,Visibility,Wind,Latitude,Longitude,Percentcanopycover,Endlatitude,Endlongitude,geodeticDatum,countryCode
S3TIP_A,S3TIP,TRUE,2025-09-09,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Light,High,Low,N55 42.027,W005 17.134,,,,WGS84,GB
S3TIP_B,S3TIP,TRUE,2025-09-09,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Light,High,Low,N55 42.003,W005 17.094,,,,WGS84,GB
S3TIP_C,S3TIP,TRUE,2025-09-09,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Light,High,Low,N55 41.979,W005 17.065,,,,WGS84,GB
S3TIP_D,S3TIP,TRUE,2025-09-09,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Light,High,Low,N55 41.949,W005 17.042,,,,WGS84,GB
S3TIP_E,S3TIP,TRUE,2025-09-09,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Light,High,Low,N55 41.922,W005 17.005,,,,WGS84,GB
S3TIP_F,S3TIP,TRUE,2025-09-09,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Light,High,Low,N55 41.902,W005 16.956,,,,WGS84,GB
S3TIP_G,S3TIP,TRUE,2025-09-09,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Light,High,Low,N55 41.907,W005 16.884,,,,WGS84,GB
S3TIP_H,S3TIP,TRUE,2025-09-09,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Light,High,Low,N55 41.862,W005 16.861,,,,WGS84,GB
S3TIP_I,S3TIP,TRUE,2025-09-09,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Light,High,Low,N55 41.843,W005 16.821,,,,WGS84,GB
S3TIP_J,S3TIP,TRUE,2025-09-09,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Light,High,Low,N55 41.828,W005 16.810,,,,WGS84,GB
S3TIN_A,S3TIN,TRUE,2025-09-10,11:00,Sweep_net,30_seconds,540,Metres^2,South_hill,14,Moderate,Medium,Medium,N55 42.027,W005 17.134,,,,WGS84,GB
S3TIN_B,S3TIN,TRUE,2025-09-10,11:00,Sweep_net,30_seconds,540,Metres^2,South_hill,14,Moderate,Medium,Medium,N55 42.003,W005 17.094,,,,WGS84,GB
S3TIN_C,S3TIN,TRUE,2025-09-10,11:00,Sweep_net,30_seconds,540,Metres^2,South_hill,14,Moderate,Medium,Medium,N55 41.979,W005 17.065,,,,WGS84,GB
S3TIN_D,S3TIN,TRUE,2025-09-10,11:00,Sweep_net,30_seconds,540,Metres^2,South_hill,14,Moderate,Medium,Medium,N55 41.949,W00 17.042,,,,WGS84,GB
S3TIN_E,S3TIN,TRUE,2025-09-10,11:00,Sweep_net,30_seconds,540,Metres^2,South_hill,14,Moderate,Medium,Medium,N55 41.922,W005 17.005,,,,WGS84,GB
S3TIN_F,S3TIN,TRUE,2025-09-10,11:00,Sweep_net,30_seconds,540,Metres^2,South_hill,14,Heavy,Low,Medium,N55 41.902,W005 16.956,,,,WGS84,GB
S3TIN_G,S3TIN,TRUE,2025-09-10,11:00,Sweep_net,30_seconds,540,Metres^2,South_hill,14,Heavy,Low,Medium,N55 41.907,W005 16.884,,,,WGS84,GB
S3TIN_H,S3TIN,TRUE,2025-09-10,11:00,Sweep_net,30_seconds,540,Metres^2,South_hill,14,Heavy,Low,Medium,N55 41.862,W005 16.861,,,,WGS84,GB
S3TIN_I,S3TIN,TRUE,2025-09-10,11:00,Sweep_net,30_seconds,540,Metres^2,South_hill,14,Heavy,Low,Medium,N55 41.843,W005 16.821,,,,WGS84,GB
S3TIN_J,S3TIN,TRUE,2025-09-10,11:00,Sweep_net,30_seconds,540,Metres^2,South_hill,14,Heavy,Low,Medium,N55 41.828,W005 16.810,,,,WGS84,GB
S2TIP_A,S2TIP,TRUE,2025-09-10,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Heavy,Low,Medium,N55 41.935,W005 17.240,,,,WGS84,GB
S2TIP_C,S2TIP,TRUE,2025-09-10,15:00,Pit _fall_trap ,24 _hours,540,Metres^2,South_hill,13,Heavy,Low,Medium,N55 41.914,W005 17.203,,,,WGS84,GB
S2TIN_A,S2TIN,TRUE,2025-09-11,15:00,Sweep_net,30_seconds,540,Metres^2,South_hill,16,None,High,High,N55 41.935,W005 17.240,,,,WGS84,GB
S2TIN_B,S2TIN,TRUE,2025-09-11,15:00,Sweep_net,30_seconds,540,Metres^2,South_hill,16,None,High,High,N55 41.924,W005 17.220,,,,WGS84,GB
S2TIN_C,S2TIN,TRUE,2025-09-11,15:00,Sweep_net,30_seconds,540,Metres^2,South_hill,16,None,High,High,N55 41.914,W005 17.203,,,,WGS84,GB
S2TIN_D,S2TIN,TRUE,2025-09-11,15:00,Sweep_net,30_seconds,540,Metres^2,South_hill,16,None,High,High,N55 41.894,W005 17.194,,,,WGS84,GB
S2TIN_E,S2TIN,TRUE,2025-09-11,15:00,Sweep_net,30_seconds,540,Metres^2,South_hill,16,None,High,High,N55 41.881,W005 17.177,,,,WGS84,GB
S2TIN_F,S2TIN,TRUE,2025-09-11,15:00,Sweep_net,30_seconds,540,Metres^2,South_hill,16,None,High,High,N55 41.867,W005 17.160,,,,WGS84,GB
S2TIN_G,S2TIN,TRUE,2025-09-11,15:00,Sweep_net,30_seconds,540,Metres^2,South_hill,16,None,High,High,N55 41.857,W005 17.140,,,,WGS84,GB
S2TIN_H,S2TIN,TRUE,2025-09-11,15:00,Sweep_net,30_seconds,540,Metres^2,South_hill,16,None,High,High,N55 41.843,W005 17.134,,,,WGS84,GB
S2TIN_I,S2TIN,TRUE,2025-09-11,15:00,Sweep_net,30_seconds,540,Metres^2,South_hill,16,None,High,High,N55 41.828,W005 17.120,,,,WGS84,GB
