eventID,parentEventID,ParentEntry,eventDate,Starttime,samplingProtocol,samplingEffort,sampleSizeValue,sampleSizeUnit,locationID,Temperature,Precipitation,Visibility,Wind,Latitude,Longitude,Percentcanopycover,Endlatitude,Endlongitude,geodeticDatum,countryCode
N3TIT_E,N3TIT,FALSE,2025-09-09,19.30,Moth_trap,14_hours ,540,Meters^2,North_hill ,13,Light,High,Low,N55 42.203,W005 16.683,,,,WGS84,GB
S3TIT_E,S3TIT,FALSE,2025-09-09,19:30,Moth_trap,14_hours ,540,Meters^2,South_hill,13,Light,High,Low,N55 41.922,W005 17.005,,,,WGS84,GB
S3TIT_A,S3TIT,FALSE,2025-09-10,19:30,Moth_trap,14_hours ,540,Meters^2,South_hill,14,Moderate,Medium,Medium,N55 42.027,W005 17.134,,,,WGS84,GB
N3TIT_A,N3TIT,FALSE,2025-09-10,19:30,Moth_trap,14_hours ,540,Meters^2,North_hill ,14,Moderate,Medium,Medium,N55 42.253,W005 16.755,,,,WGS84,GB
S3TIT_J,S3TIT,FALSE,2025-09-11,19:30,Moth_trap,14_hours ,540,Meters^2,South_hill,16,None,High,High,N55 41.828,W005 16.810,,,,WGS84,GB
N3TIT_J,N3TIT,FALSE,2025-09-11,19:30,Moth_trap,14_hours ,540,Meters^2,North_hill ,16,None,High,High,N55 42.061,W005 16.371,,,,WGS84,GB
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
